,2/12/15,2/11/15,2/10/15,2/9/15,2/6/15,2/5/15,2/4/15,2/3/15,2/2/15,1/30/15,1/29/15,1/28/15,1/27/15,1/26/15,1/23/15,1/22/15,1/21/15,1/20/15,1/19/15,1/16/15,1/15/15,1/14/15,1/13/15,1/12/15,1/9/15,1/8/15,1/7/15,1/6/15,1/5/15,1/2/15,12/31/14,12/30/14,12/29/14,12/26/14,12/25/14,12/24/14,12/23/14,12/22/14,12/19/14,12/18/14,12/17/14,12/16/14,12/15/14,12/12/14,12/11/14,12/10/14,12/9/14,12/8/14,12/5/14,12/4/14,12/3/14,12/2/14,12/1/14,11/28/14,11/27/14,11/26/14,11/25/14,11/24/14,11/21/14,11/20/14,11/19/14,11/18/14
IDR,12802,12723,12670,12653,12621,12635,12630,12657,12686,12672,12582,12487,12469,12507,12459,12487,12481,12576,12618,12590,12555,12614,12601,12599,12647,12674,12735,12647,12614,12545,12388,12434,12441,12409,12440,12469,12463,12441,12497,12563,12667,12725,12714,12467,12350,12338,12331,12390,12299,12309,12301,12271,12281,12206,12177,12178,12164,12153,12147,12175,12142,12136
PEN,3.069,3.0835,3.084,3.067,3.0707,3.059,3.0605,3.0555,3.063,3.0588,3.043,3.0333,3.0238,3.0255,3.0185,3.006,3.0075,3.0105,3.011,3.0145,3.0025,2.9965,2.9885,2.9815,2.9861,2.9825,2.9905,2.9895,2.9895,2.9752,2.9795,2.9935,2.989,2.9785,2.975,2.976,2.971,2.967,2.9395,2.9525,2.9705,2.967,2.9625,2.969,2.9638,2.9595,2.962,2.9555,2.9475,2.9445,2.944,2.9325,2.9229,2.9135,2.9115,2.9145,2.916,2.9105,2.9235,2.926,2.9275,2.931
PGK,2.6085,2.6292,2.6222,2.6222,2.6222,2.6052,2.6222,2.6222,2.5641,2.6222,2.5667,2.5813,2.6086,2.6086,2.5813,2.6086,2.5813,2.6086,2.5813,2.5813,2.5813,2.5435,2.6018,2.6018,2.6018,2.5813,2.5813,2.5875,2.5375,2.5718,2.595,2.5667,2.5718,2.5667,2.5039,2.5782,2.5039,2.624,2.5782,2.5782,2.5718,2.5782,2.5718,2.5716,2.5716,2.5716,2.5716,2.5718,2.5718,2.565,2.5813,2.565,2.5781,2.5686,2.5551,2.5519,2.5485,2.5455,2.5651,2.5651,2.5455,2.5651
TWD,31.559,31.55,31.504,31.526,31.449,31.503,31.427,31.6,31.63,31.527,31.507,31.255,31.287,31.305,31.324,31.467,31.516,31.672,31.549,31.548,31.748,31.81,31.839,31.857,31.934,31.993,31.979,31.99,31.976,31.773,31.635,31.656,31.731,31.755,31.737,31.723,31.804,31.755,31.581,31.462,31.445,31.339,31.294,31.33,31.313,31.231,31.225,31.221,31.209,31.138,31.149,31.095,31.053,31.058,30.957,30.906,30.925,30.929,30.945,30.919,30.958,30.847
BGN,1.7151,1.7253,1.7278,1.7271,1.7276,1.7041,1.7239,1.7038,1.7245,1.7309,1.7278,1.7329,1.7185,1.7404,1.7444,1.7209,1.6845,1.6934,1.6851,1.6911,1.6811,1.6589,1.6613,1.6527,1.6513,1.6585,1.6521,1.6451,1.6391,1.6294,1.6097,1.6165,1.6089,1.6095,1.606,1.6031,1.6032,1.6067,1.5993,1.5996,1.592,1.5847,1.5633,1.5725,1.5695,1.5758,1.5713,1.5806,1.5879,1.5917,1.58,1.5887,1.5795,1.5685,1.5709,1.5687,1.5639,1.568,1.5721,1.5785,1.5599,1.558
BWP,9.6759,9.7229,9.6712,9.6247,9.4832,9.5239,9.607,9.5696,9.6284,9.634,9.6619,9.5742,9.6293,9.534,9.597,9.5511,9.5786,9.6062,9.5882,9.5786,9.5283,9.5421,9.5375,9.5421,9.5558,9.6062,9.6155,9.5882,9.6339,9.5098,9.5459,9.5148,9.542,9.5239,9.5421,9.5468,9.5507,9.5175,9.5148,9.5148,9.4832,9.5329,9.4789,9.5102,9.5058,9.5013,9.4474,9.4118,9.4697,9.2982,9.298,9.2851,9.2593,9.1997,9.2422,9.1912,9.187,9.1912,9.2167,9.1955,9.187,9.2251
QAR,3.6416,3.6416,3.6416,3.6416,3.6416,3.6417,3.6416,3.6415,3.6414,3.6415,3.6414,3.6416,3.6414,3.6416,3.6419,3.6414,3.6414,3.6412,3.641,3.6409,3.641,3.6409,3.6407,3.6408,3.6406,3.6407,3.6406,3.6407,3.6413,3.6417,3.6423,3.6417,3.6417,3.6402,3.6415,3.6422,3.6416,3.6418,3.642,3.6412,3.6419,3.6414,3.6414,3.6414,3.6414,3.6416,3.6416,3.6415,3.6416,3.6415,3.6414,3.6413,3.6404,3.6411,3.6409,3.6411,3.6416,3.642,3.642,3.6414,3.6414,3.6414
UZS,2456,2455.44,2452.56,2448.09,2442.13,2443.09,2442.13,2442.13,2442.13,2436.16,2436.16,2436.16,2436.16,2436.16,2430.17,2430.17,2430.17,2430.17,2430.17,2424.31,2424.31,2424.31,2424.31,2424.31,2424.23,2424.23,2424.23,2424.23,2424.23,2422.4,2422.4,2422.4,2422.4,2422.4,2418.2,2418.2,2418.2,2418.2,2418.2,2413.96,2413.96,2413.96,2413.96,2413.96,2409.67,2409.67,2409.67,2409.67,2405.41,2405.41,2405.41,2405.41,2405.41,2405.41,2401.09,2401.09,2401.09,2401.09,2401.09,2396.79,2396.79,2396.79
UGX,2888.7,2875,2870,2865,2870,2870,2865,2860,2870,2855,2860,2855,2845,2859.2,2855,2895,2903,2900,2895,2880,2890,2890,2865,2860,2855,2850,2835,2810,2800,2760,2771,2771,2763,2770,2765,2765,2755,2755,2755,2775,2780,2775,2785,2775,2770,2765,2767.7,2763.5,2760,2760,2745,2755,2752.95,2765,2775,2775,2775,2745,2750,2754.82,2745,2740
UYU,24.729,24.816,24.571,24.507,24.4571,24.3571,24.3,24.23,24.449,24.448,24.315,24.274,24.221,24.38,24.4821,24.439,24.454,24.525,24.55,24.7072,24.8071,24.75,24.7283,24.507,24.425,24.35,24.21,24.21,24.13,24.315,24.315,24.325,24.05,24.15,24.15,24.196,24.14,24.0065,24.145,24.322,24.5567,24.365,24.153,24.038,23.93,23.88,23.867,23.895,23.979,23.301,24.0055,23.898,23.685,23.523,23.576,23.505,23.57,23.8559,23.94,23.872,23.889,24.2
UAH,26.7,26,25.625,25,25.25,24.345,16.78,16.29,16.2,16.21,15.92,15.92,15.95,15.86,15.8175,15.82,15.82,15.82,15.86,15.85,15.83,15.821,15.82,15.8055,15.805,15.81,15.83,15.83,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.71,15.91,15.825,15.82,15.83,15.82,15.81,15.76,15.72,15.7,15.63,15.58,15.46,15.35,15.24,15.16,15.11,15.02,15.023,15.1,15.1,15.1,15.2,15.2,15.2
IQD,1200.05,1200.05,1200.05,1200.05,1200.05,1200.05,1200.05,1200.05,1200.05,1200.05,1200.05,1200.05,1200.05,1200.05,1200.05,1200.05,1200.05,1200.05,1200.05,1203.5326,1203.5326,1203.5326,1203.5326,1203.5326,1195.025,1195.025,1195.025,1195.025,1195.025,1195.025,1195.025,1195.025,1195.025,1195.025,1195.025,1195.025,1190,1195.025,1195.025,1196.5176,1196.5176,1196.5176,1190,1196.5176,1196.5176,1196.5176,1196.5176,1196.5176,1206.5676,1206.5676,1206.5676,1206.5676,1206.5676,1206.5676,1207.5626,1207.5626,1207.5626,1207.5626,1207.5626,1207.5626,1207.5626,1207.5626
ILS,3.8767,3.885,3.869,3.8758,3.899,3.856,3.897,3.8911,3.9304,3.929,3.9301,3.9405,3.9467,3.9886,4.009,3.952,3.942,3.9375,3.9165,3.9423,3.9261,3.8979,3.9362,3.9298,3.9384,3.9548,3.9704,3.9585,3.9546,3.9351,3.889,3.8987,3.9054,3.911,3.92,3.915,3.928,3.9325,3.9053,3.9274,3.9399,3.9314,3.898,3.9358,3.909,3.9211,3.9302,3.9372,3.962,3.984,3.9523,3.978,3.9773,3.9236,3.896,3.894,3.8735,3.862,3.859,3.86,3.837,3.8428
SEK,8.4427,8.3743,8.327,8.3601,8.3968,8.2472,8.2855,8.2174,8.3174,8.2859,8.2766,8.2967,8.1819,8.3099,8.3353,8.2295,8.173,8.1742,8.1343,8.0905,8.1022,8.0841,8.0708,8.073,8.058,8.0297,7.9761,7.9185,7.9385,7.9319,7.8031,7.807,7.7417,7.8563,7.8545,7.7807,7.8151,7.8016,7.7979,7.7341,7.6988,7.6665,7.6276,7.6449,7.5455,7.5258,7.531,7.5316,7.5462,7.5573,7.4942,7.5258,7.5237,7.4382,7.451,7.432,7.3981,7.4253,7.438,7.466,7.394,7.389
DJF,177.895,177.905,176.9506,177.995,176.9506,176.8626,177.505,177.695,177.78,177.395,176.9506,176.955,176.945,177.495,177.505,177.4876,176.9506,176.9506,176.9506,178.12,178.02,176.9506,177.995,176.9506,177.995,176.9506,176.9506,178.095,177.4876,178.02,177.77,177.4876,178.055,176.9506,176.9506,177.77,176.9506,177.2066,177.995,176.9506,176.9506,178.02,177.5153,177.7288,177.995,178.045,177.995,177.995,177.5126,177.995,176.9506,178.02,176.9506,176.9506,177.995,176.9506,176.9506,177.4626,176.9506,178.02,177.995,177.995
DZD,93.9198,94.2071,94.1089,93.6865,93.158,93.3051,93.2196,92.6375,92.9653,92.55,92.2423,92.1822,92.3375,92.2568,89.4616,88.8481,88.3114,88.4012,88.3268,88.5105,88.1764,87.8428,87.8435,87.7705,87.9816,88.2207,88.2175,87.9474,88.0283,87.9186,87.92,87.92,87.9472,87.807,87.8624,87.4841,87.6748,87.45,87.2326,87.3523,87.2417,86.2293,85.8013,86.539,86.4707,86.423,86.6491,86.8782,87.0508,87.0527,86.8016,86.9187,86.3238,86.0942,86.1087,85.9232,85.8608,85.7943,85.7803,85.7036,84.9074,84.782
ISK,131.45,131.95,132.29,132.37,132.29,130.85,132.61,131.16,132.95,133.46,133.37,133.87,133.04,134.68,135.12,134.14,131.82,132.24,131.79,131.98,131.63,130.39,130.68,130.1,129.81,130.47,130.2,129.73,129.14,128.53,127.48,127.55,126.91,127.21,127.07,126.63,126.9,127.13,126.66,126.82,126.2,125.87,123.71,123.78,123.54,123.92,123.52,124.17,124.67,124.9,124.08,124.69,124.21,123.39,123.72,123.61,123.3,123.67,124.02,123.99,123.04,123.16
INR,62.3063,62.255,62.195,62.1688,61.7025,61.7388,61.7537,61.675,61.8025,61.87,61.8725,61.405,61.4075,61.435,61.705,61.6375,61.685,61.7125,61.8713,62.0675,62.1888,62.1475,62.135,62.325,62.6725,63.175,63.5725,63.42,63.295,63.355,63.0437,63.38,63.6763,63.5687,63.525,63.2925,63.2475,63.3,63.1125,63.6225,63.5375,62.945,62.295,62.345,62.0213,61.8875,61.8375,61.785,61.9362,61.9125,61.885,62.0238,62.0325,61.875,61.85,61.87,61.9325,61.775,61.9538,61.9625,61.7475,61.7375
SAR,3.7517,3.7515,3.7516,3.7523,3.7528,3.7529,3.753,3.753,3.756,3.7615,3.7612,3.7595,3.7599,3.7595,3.7574,3.7575,3.7567,3.7555,3.7554,3.754,3.7535,3.7532,3.7531,3.7535,3.755,3.7551,3.7541,3.7535,3.753,3.7545,3.7527,3.7542,3.754,3.7557,3.7548,3.755,3.755,3.7536,3.7542,3.754,3.754,3.7538,3.7536,3.7531,3.7534,3.7531,3.7525,3.7524,3.7529,3.7534,3.7535,3.7532,3.7532,3.7542,3.753,3.7524,3.7524,3.7519,3.752,3.752,3.752,3.7519
CAD,1.2509,1.2632,1.2587,1.2467,1.2527,1.2434,1.2574,1.2415,1.2564,1.2732,1.2616,1.2536,1.2399,1.2474,1.242,1.238,1.234,1.2113,1.1941,1.1984,1.1961,1.1951,1.1959,1.1974,1.1867,1.1831,1.1815,1.1836,1.1763,1.1785,1.1611,1.1621,1.1611,1.1637,1.1627,1.1625,1.1624,1.1617,1.1628,1.16,1.1576,1.163,1.1627,1.1672,1.1581,1.1521,1.1482,1.1446,1.148,1.1435,1.1384,1.1365,1.1407,1.1329,1.1416,1.1331,1.1247,1.1258,1.1279,1.1233,1.1305,1.1341
ARS,8.6802,8.6754,8.6717,8.6649,8.6594,8.6528,8.6521,8.6619,8.6524,8.6424,8.6385,8.6315,8.629,8.625,8.6267,8.6147,8.6167,8.6112,8.6046,8.6013,8.5944,8.5944,8.5914,8.5918,8.5912,8.5913,8.5823,8.5523,8.5626,8.5553,8.465,8.5512,8.5518,8.5508,8.5519,8.5509,8.5512,8.5501,8.5538,8.5509,8.5509,8.5521,8.5512,8.5513,8.5508,8.5561,8.5495,8.5427,8.5391,8.5308,8.5234,8.522,8.5225,8.52,8.5157,8.5154,8.514,8.5125,8.5115,8.5174,8.5168,8.5162
AUD,1.2928,1.2955,1.2868,1.2817,1.2825,1.2824,1.2896,1.2835,1.2817,1.287,1.2881,1.2678,1.2599,1.262,1.2641,1.2461,1.2358,1.2238,1.2177,1.2157,1.2162,1.2273,1.2245,1.226,1.2189,1.2311,1.238,1.2368,1.2369,1.2359,1.2224,1.2239,1.2218,1.2292,1.2314,1.2317,1.2328,1.2337,1.2296,1.2277,1.2243,1.2306,1.2166,1.2174,1.2127,1.2087,1.2018,1.2058,1.2057,1.2012,1.1927,1.1897,1.1842,1.1774,1.1755,1.17,1.1695,1.1724,1.1603,1.1537,1.1598,1.1602
SGD,1.3564,1.3611,1.3548,1.3537,1.353,1.3447,1.3487,1.3463,1.3519,1.3542,1.3538,1.3531,1.3389,1.3447,1.3448,1.3394,1.3348,1.337,1.3337,1.3271,1.3263,1.335,1.3334,1.3343,1.3334,1.3368,1.3397,1.3333,1.3353,1.3313,1.3235,1.3255,1.3215,1.3237,1.3232,1.3227,1.3236,1.3254,1.3186,1.3149,1.3139,1.3106,1.3029,1.3129,1.3139,1.313,1.3112,1.3164,1.3196,1.3227,1.3121,1.3124,1.3117,1.3067,1.3044,1.2993,1.2978,1.3007,1.3028,1.2997,1.3003,1.3057
RUB,0.01595,0.01532,0.01533,0.01528,0.01521,0.01501,0.01502,0.01468,0.01534,0.01464,0.01442,0.01453,0.01475,0.01477,0.01509,0.01545,0.01557,0.01534,0.01533,0.0154,0.01532,0.01533,0.01547,0.01529,0.01584,0.01614,0.01661,0.01594,0.01584,0.01652,0.01697,0.01723,0.01723,0.01803,0.01693,0.01852,0.01889,0.01876,0.0183,0.01792,0.0168,0.01614,0.01651,0.01465,0.01528,0.01718,0.01772,0.01822,0.0185,0.01861,0.01898,0.01839,0.01878,0.01856,0.01954,0.01983,0.02056,0.02109,0.02161,0.02223,0.02188,0.02167
